HEADER
VTF File Version,1.0
VTF File Type,0
PID,3924903
Generated on,2024-01-27 23:21:27
Resolution,ms
Min Resolution,us
Trace Version,1.0
XRT Version,0.0.0
Tool Version,2020.1

STRUCTURE
Group_Start,DPU
Dynamic_Row, 1, DPU_0
Group_End,DPU

MAPPING
1,
2,subgraph_A2J_model__A2J_model_ClassificationModel_classificationModel__Conv2d_conv1__input_303
3,subgraph_FallModel__FallModel_AdaptiveAvgPool2d_avgpool__1855_fix
4,subgraph_YOLOX__YOLOX_YOLOPAFPN_backbone__BaseConv_bu_conv1__Conv2d_conv__input_311

EVENTS
1,0,448918922.911000,1,VART_RUNNER,4,3925543,1,26.03,1069.26,281,1,1,,
2,1,448918947.255000,1,VART_RUNNER,4,3925543,1,26.03,1069.26,281,1,1,,
3,0,448919017.189000,1,VART_RUNNER,2,3925543,1,33.08,833.46,227,1,1,,
4,3,448919056.879000,1,VART_RUNNER,2,3925543,1,33.08,833.46,227,1,1,,
5,0,448919094.405000,1,VART_RUNNER,3,3925543,1,0.38,39.53,35,1,1,,
6,5,448919104.017000,1,VART_RUNNER,3,3925543,1,0.38,39.53,35,1,1,,
7,0,448919143.439000,1,VART_RUNNER,4,3925543,1,26.03,1068.99,281,1,1,,
8,7,448919167.789000,1,VART_RUNNER,4,3925543,1,26.03,1068.99,281,1,1,,
9,0,448919190.090000,1,VART_RUNNER,2,3925543,1,33.08,834.19,227,1,1,,
10,9,448919229.745000,1,VART_RUNNER,2,3925543,1,33.08,834.19,227,1,1,,
11,0,448919250.548000,1,VART_RUNNER,3,3925543,1,0.38,437.28,35,1,1,,
12,11,448919251.417000,1,VART_RUNNER,3,3925543,1,0.38,437.28,35,1,1,,
13,0,448919276.223000,1,VART_RUNNER,4,3925543,1,26.03,1069.43,281,1,1,,
14,13,448919300.563000,1,VART_RUNNER,4,3925543,1,26.03,1069.43,281,1,1,,
15,0,448919329.363000,1,VART_RUNNER,2,3925543,1,33.08,832.72,227,1,1,,
16,15,448919369.088000,1,VART_RUNNER,2,3925543,1,33.08,832.72,227,1,1,,
17,0,448919389.920000,1,VART_RUNNER,3,3925543,1,0.38,458.38,35,1,1,,
18,17,448919390.749000,1,VART_RUNNER,3,3925543,1,0.38,458.38,35,1,1,,
19,0,448919413.433000,1,VART_RUNNER,4,3925543,1,26.03,1055.43,281,1,1,,
20,19,448919438.096000,1,VART_RUNNER,4,3925543,1,26.03,1055.43,281,1,1,,
21,0,448919460.938000,1,VART_RUNNER,2,3925543,1,33.08,834.15,227,1,1,,
22,21,448919500.595000,1,VART_RUNNER,2,3925543,1,33.08,834.15,227,1,1,,
